time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-17T08:39:08.413Z,39.6641,37.358,10,4.4,mb,20,70,0.943,0.42,us,us6000nza7,2024-10-17T12:40:44.040Z,"21 km S of Hafik, Turkey",earthquake,3.39,1.922,0.19,8,reviewed,us,us
2024-10-17T08:29:57.114Z,39.6487,37.3384,7.306,4.5,mwr,78,44,0.944,0.62,us,us6000nza6,2024-10-17T16:24:41.101Z,"23 km S of Hafik, Turkey",earthquake,3.97,4.56,0.086,13,reviewed,us,us
2024-10-17T07:56:38.454Z,34.9148,135.5085,371.191,4.4,mb,52,45,1.32,0.51,us,us6000nz9z,2024-10-17T08:55:18.040Z,"10 km NNE of Mino, Japan",earthquake,8.98,7.433,0.093,33,reviewed,us,us
2024-10-17T06:56:16.700Z,17.984,-66.9895,11.95,2.45,md,13,160,0.05406,0.2,pr,pr71462778,2024-10-17T07:03:57.770Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.41,0.66,0.08586122949183,5,reviewed,pr,pr
2024-10-17T06:35:20.017Z,56.6073,-156.946,55.817,2.7,ml,22,148,0.762,0.37,us,us6000nz9x,2024-10-17T08:13:43.040Z,"96 km ENE of Chignik, Alaska",earthquake,6.52,21.151,0.064,32,reviewed,us,us
2024-10-17T06:09:16.860Z,17.980166666667,-65.386833333333,11.76,2.97,md,11,216,0.1961,0.44,pr,pr71462768,2024-10-17T06:26:45.680Z,"15 km SE of Esperanza, Puerto Rico",earthquake,2,1.33,0.049352087790314,4,reviewed,pr,pr
2024-10-17T05:37:32.769Z,-27.867,-176.3182,10,5.6,mww,32,172,1.973,0.81,us,us6000nz9e,2024-10-18T05:40:33.741Z,"Kermadec Islands region",earthquake,10.74,1.92,0.083,14,reviewed,us,us
2024-10-17T04:31:25.579Z,-16.9382,-70.0447,183.367,4.2,mb,22,122,0.843,0.48,us,us6000nz90,2024-10-17T05:15:56.040Z,"38 km N of Chuquitira, Peru",earthquake,4.09,8.045,0.235,5,reviewed,us,us
2024-10-17T04:20:35.792Z,-31.2423,-176.7829,10,5.1,mww,39,59,2.206,1.1,us,us6000nz8w,2024-10-17T04:44:44.040Z,"Kermadec Islands region",earthquake,9.45,1.822,0.083,14,reviewed,us,us
2024-10-17T03:18:52.410Z,18.316666666667,-68.131,5.21,3.01,md,13,184,0.9799,0.27,pr,pr71462758,2024-10-17T03:38:08.670Z,"41 km SE of Punta Cana, Dominican Republic",earthquake,2.08,1.14,0.055202542356462,8,reviewed,pr,pr
2024-10-17T02:40:17.690Z,17.9721,-65.3771,10,3.64,md,19,212,0.2154,0.22,pr,pr2024291000,2024-10-17T05:32:11.040Z,"17 km SE of Esperanza, Puerto Rico",earthquake,0.96,0.66,0.15,17,reviewed,pr,pr
2024-10-17T02:33:12.550Z,18.005333333333,-65.378833333333,12.14,3.38,md,23,207,0.189,0.53,pr,pr71462728,2024-10-17T05:33:44.040Z,"14 km SE of Esperanza, Puerto Rico",earthquake,1.63,1.12,0.07773760328772,14,reviewed,pr,pr
2024-10-17T02:18:34.318Z,-14.0477,167.9479,10,5,mb,26,162,7.351,0.93,us,us6000nz8e,2024-10-17T07:18:36.763Z,"46 km ESE of Sola, Vanuatu",earthquake,7.05,1.948,0.13,19,reviewed,us,us
2024-10-17T01:28:44.129Z,-22.3873,-179.4303,580.294,4.8,mb,55,95,4.111,0.96,us,us6000nz84,2024-10-17T01:44:02.040Z,"south of the Fiji Islands",earthquake,13.61,10.864,0.1,31,reviewed,us,us
2024-10-17T01:01:20.183Z,-31.3191,-176.7166,10,5.2,mww,47,69,2.299,1.32,us,us6000nz7p,2024-10-17T01:55:57.040Z,"Kermadec Islands region",earthquake,9.69,1.875,0.073,18,reviewed,us,us
2024-10-17T00:47:38.567Z,40.6314,-119.3746,2.4,2.8,ml,7,189.52,0.536,0.18,nn,nn00886135,2024-10-17T17:26:08.901Z,"2 km SW of Gerlach, Nevada",earthquake,,4.5,0.19,3,reviewed,nn,nn
2024-10-17T00:47:21.870Z,62.6643,-149.8626,4.7,3,ml,,,,0.85,ak,ak024dd9o40x,2024-10-17T00:49:20.571Z,"26 km NNE of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-10-16T22:51:12.641Z,-19.1691,-173.5251,10,5.2,mb,55,75,2.539,1.04,us,us6000nz79,2024-10-16T23:10:34.040Z,"74 km SE of Neiafu, Tonga",earthquake,10.23,1.859,0.065,78,reviewed,us,us
2024-10-16T22:49:56.952Z,-27.8154,-176.565,35,4.4,mb,17,148,1.863,0.83,us,us6000nz77,2024-10-17T01:02:12.040Z,"Kermadec Islands region",earthquake,12.23,1.968,0.138,15,reviewed,us,us
2024-10-16T22:25:01.739Z,49.7056,-28.4864,10,5.2,mb,61,66,14.211,0.66,us,us6000nz75,2024-10-16T22:39:34.040Z,"northern Mid-Atlantic Ridge",earthquake,10.86,1.894,0.033,301,reviewed,us,us
2024-10-16T22:23:02.452Z,40.9571,78.4825,10,5.2,mb,80,79,1.517,1.3,us,us6000nz72,2024-10-17T03:07:35.520Z,"130 km NNW of Tumxuk, China",earthquake,5.88,1.851,0.056,105,reviewed,us,us
2024-10-16T22:04:48.996Z,2.0515,-79.7463,10,4.7,mb,42,156,1.173,0.88,us,us6000nz6y,2024-10-17T00:11:31.564Z,"109 km WNW of Tumaco, Colombia",earthquake,8.16,1.897,0.07,62,reviewed,us,us
2024-10-16T21:52:04.060Z,20.036333333333,-155.51883333333,12.08,3.28,ml,60,168,0.1679,0.16,hv,hv74501626,2024-10-17T05:22:40.363Z,"7 km SW of Honoka‘a, Hawaii",earthquake,0.5,0.46,0.16027769672468,44,reviewed,hv,hv
2024-10-16T21:05:18.811Z,-37.9822,176.0971,182.603,4.1,mb,20,114,0.534,0.99,us,us6000nz6r,2024-10-16T21:33:21.040Z,"12 km W of Kaharoa, New Zealand",earthquake,4,6.202,0.185,8,reviewed,us,us
2024-10-16T20:48:59.382Z,55.19,-159.5406,4.4,3.7,ml,,,,0.73,ak,ak024dby1tvq,2024-10-17T12:14:36.501Z,"63 km ESE of Sand Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-10-16T20:48:13.081Z,-5.9195,134.0345,10,4.2,mb,17,101,3.472,1.09,us,us6000nz6m,2024-10-16T21:37:45.040Z,"145 km ESE of Tual, Indonesia",earthquake,11.51,1.909,0.236,5,reviewed,us,us
2024-10-16T20:37:54.324Z,53.1768,-164.5612,31.5,3.5,ml,,,,0.46,ak,ak024dbxzd4v,2024-10-17T03:18:52.062Z,"133 km SE of Akutan, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2024-10-16T20:29:56.145Z,69.5616,-144.8695,0,2.6,ml,,,,0.77,ak,ak024dbxxnem,2024-10-16T22:42:46.677Z,"79 km SW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-16T20:21:48.127Z,-15.606,-174.6494,182.898,4.4,mb,38,57,3.246,0.87,us,us6000nz6g,2024-10-16T21:17:05.040Z,"99 km WNW of Hihifo, Tonga",earthquake,12.38,6.439,0.11,24,reviewed,us,us
2024-10-16T20:11:28.216Z,9.1426,40.1541,10,4.6,mb,48,116,3.556,0.55,us,us6000nz6e,2024-10-17T09:14:38.767Z,"17 km N of Āwash, Ethiopia",earthquake,9.07,1.871,0.091,36,reviewed,us,us
2024-10-16T19:40:58.717Z,18.4898,-106.9116,10,5.9,mww,130,174,5.497,1.53,us,us6000nz5z,2024-10-17T19:43:57.544Z,"224 km SW of José María Morelos, Mexico",earthquake,9.79,1.889,0.052,36,reviewed,us,us
2024-10-16T19:27:26.030Z,38.955833435059,-123.23400115967,3.8900001049042,2.61,md,35,92,0.03588,0.09,nc,nc75075146,2024-10-17T01:59:29.710Z,"13 km SE of Boonville, CA",earthquake,0.2,0.569999993,0.15,41,automatic,nc,nc
2024-10-16T19:26:24.400Z,35.683334350586,-120.922996521,2.539999961853,2.76,ml,4,172,0.1762,0.03,nc,nc75075141,2024-10-17T01:42:17.582Z,"6 km SW of Lake Nacimiento, CA",earthquake,1.92,7.4000001,0.216,5,automatic,nc,nc
2024-10-16T18:59:39.196Z,-27.7875,-176.3663,10,5.1,mb,73,65,2,0.64,us,us6000nz5p,2024-10-16T19:28:08.040Z,"Kermadec Islands region",earthquake,10.08,1.77,0.074,65,reviewed,us,us
2024-10-16T18:56:51.468Z,36.5608,70.5904,203.382,5.9,mww,146,36,1.938,1.21,us,us6000nz5n,2024-10-17T18:59:48.635Z,"40 km SSW of Jurm, Afghanistan",earthquake,6.94,6.033,0.038,66,reviewed,us,us
2024-10-16T18:55:47.203Z,41.0416,83.7384,10,4,mb,15,127,3.899,0.44,us,us6000nz5x,2024-10-16T21:05:53.040Z,"100 km SE of Kuqa, China",earthquake,12.28,1.99,0.367,2,reviewed,us,us
2024-10-16T18:44:55.717Z,-31.1421,-176.7602,10,4.5,mb,17,206,2.126,1.24,us,us6000nz5l,2024-10-16T20:21:47.040Z,"Kermadec Islands region",earthquake,8.31,1.971,0.128,18,reviewed,us,us
2024-10-16T18:32:52.324Z,18.003,120.1504,10,4.7,mww,124,42,4.869,0.95,us,us6000nz5j,2024-10-16T19:37:30.040Z,"32 km WNW of Pagsanahan Norte, Philippines",earthquake,8.1,1.767,0.098,10,reviewed,us,us
2024-10-16T18:30:46.688Z,36.6824,71.2591,215.859,4.2,mb,38,141,2.173,0.52,us,us6000nz5g,2024-10-16T20:13:35.040Z,"24 km W of Ashkāsham, Afghanistan",earthquake,9.65,9.352,0.153,12,reviewed,us,us
2024-10-16T17:11:00.533Z,-27.8652,-176.1917,10,5.1,mww,74,44,2.055,0.59,us,us6000nz4x,2024-10-16T17:41:51.040Z,"Kermadec Islands region",earthquake,11.11,1.789,0.093,11,reviewed,us,us
2024-10-16T16:15:36.252Z,29.044,139.3178,422.951,4.7,mb,104,74,3.191,0.69,us,us6000nz4a,2024-10-16T16:32:53.040Z,"Izu Islands, Japan region",earthquake,10.23,7.803,0.028,392,reviewed,us,us
2024-10-16T16:13:09.828Z,-23.6622,-179.9346,536.333,4.5,mb,48,73,5.133,1,us,us6000nz4c,2024-10-16T16:47:27.040Z,"south of the Fiji Islands",earthquake,12.91,9.18,0.083,42,reviewed,us,us
2024-10-16T16:10:29.449Z,70.3269,-144.2035,10,2.8,ml,22,212,0.478,0.37,us,us6000nz3b,2024-10-18T00:46:33.040Z,"30 km NW of Kaktovik, Alaska",earthquake,4.41,1.952,0.148,6,reviewed,us,us
2024-10-16T15:16:40.123Z,-8.3438,119.4646,159.82,4.3,mb,24,86,2.758,1.2,us,us6000nz38,2024-10-18T01:11:32.040Z,"27 km N of Komodo, Indonesia",earthquake,12.18,8.81,0.125,19,reviewed,us,us
2024-10-16T15:04:02.962Z,-31.1769,-176.7871,10,5.1,mb,42,77,2.146,0.8,us,us6000nz35,2024-10-16T15:32:49.040Z,"Kermadec Islands region",earthquake,10.22,1.851,0.079,52,reviewed,us,us
2024-10-16T13:58:21.057Z,23.995,121.6717,35,4.8,mwr,130,30,0.191,0.65,us,us6000nz1z,2024-10-17T00:14:40.179Z,"7 km ENE of Hualien City, Taiwan",earthquake,3.92,1.805,0.063,24,reviewed,us,us
2024-10-16T12:26:21.209Z,33.215,48.2756,10,4.3,mb,39,218,2.844,0.83,us,us6000nz1h,2024-10-16T14:44:03.040Z,"31 km SSW of Khorramabad, Iran",earthquake,11.02,1.978,0.1,28,reviewed,us,us
2024-10-16T12:24:51.050Z,63.5305,-150.1155,0.2,2.5,ml,,,,1.04,ak,ak024dbt53h8,2024-10-17T05:19:15.040Z,"60 km WNW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-10-16T12:19:44.762Z,-31.1714,-177.0966,10,5.3,mb,65,88,2.032,0.55,us,us6000nz1u,2024-10-16T14:19:04.040Z,"Kermadec Islands region",earthquake,10.12,1.875,0.07,68,reviewed,us,us
2024-10-16T12:19:27.538Z,-31.2926,-177.3049,10,5,mb,61,86,2.093,0.49,us,us6000nz1f,2024-10-16T13:38:29.040Z,"Kermadec Islands region",earthquake,10.9,1.87,0.072,61,reviewed,us,us
2024-10-16T11:40:30.058Z,63.5383,-150.1589,34.8,2.8,ml,,,,1.03,ak,ak024dbsn1gx,2024-10-17T05:09:59.040Z,"62 km WNW of Cantwell, Alaska",earthquake,,1185.7,,,automatic,ak,ak
2024-10-16T11:39:48.294Z,40.1549,85.0598,10,4,mb,23,188,5.238,0.68,us,us6000nz14,2024-10-17T05:06:57.040Z,"200 km SSW of Korla, China",earthquake,9.67,1.992,0.258,4,reviewed,us,us
2024-10-16T11:17:10.380Z,17.9915,-65.384,11.94,2.89,md,10,225,0.1919,0.32,pr,pr71462713,2024-10-16T12:01:01.080Z,"14 km SE of Esperanza, Puerto Rico",earthquake,1.79,1.11,0.17448000835413,6,reviewed,pr,pr
2024-10-16T11:10:21.025Z,51.9302,-173.6564,6.949,3.7,mb,43,197,0.431,0.73,us,us6000nz3a,2024-10-17T05:02:00.040Z,"47 km SE of Atka, Alaska",earthquake,3.79,6.368,0.152,11,reviewed,us,us
2024-10-16T10:06:09.615Z,-2.0623,-80.3848,58.803,3.3,ml,10,301,0.837,1.4,us,us6000nz0s,2024-10-17T04:35:34.040Z,"32 km SSW of Pedro Carbo, Ecuador",earthquake,12.87,23.975,0.081,20,reviewed,us,us
2024-10-16T09:39:59.182Z,52.5655,-163.3902,10,5.3,mww,142,98,2.088,1.02,us,us6000nz0p,2024-10-18T09:50:11.155Z,"235 km SE of Akutan, Alaska",earthquake,6.96,1.835,0.057,30,reviewed,us,us
2024-10-16T08:53:22.463Z,36.1367,139.8059,74.591,4.7,mb,50,115,1.351,1.13,us,us6000nyzs,2024-10-16T20:13:30.733Z,"4 km N of Sakai, Japan",earthquake,6.91,5.531,0.093,35,reviewed,us,us
2024-10-16T08:52:26.965Z,67.3349,-156.1553,0,2.7,ml,,,,0.94,ak,ak024dbqxbd4,2024-10-16T09:53:07.040Z,"57 km NE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-10-16T08:42:49.190Z,19.193832397461,-155.42849731445,32.159999847412,2.55999994,md,46,155,0.0497,0.109999999,hv,hv74501166,2024-10-16T08:44:42.200Z,"5 km E of Pāhala, Hawaii",earthquake,0.52,0.49000001,0.289999992,20,automatic,hv,hv
2024-10-16T08:06:54.526Z,60.3442,-151.3044,33.7,3.2,ml,,,,0.31,ak,ak024dbqnijw,2024-10-16T08:28:05.040Z,"1 km WNW of Kasilof, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-16T07:46:32.889Z,38.3086,38.8261,10,6,mww,118,43,0.383,1.02,us,us6000nyzk,2024-10-18T11:29:29.531Z,"18 km W of Doğanyol, Turkey",earthquake,3.78,1.815,0.042,55,reviewed,us,us
2024-10-16T07:33:32.723Z,60.9293,-151.3155,66.3,2.7,ml,,,,0.29,ak,ak024dbq7tlk,2024-10-16T07:35:12.338Z,"18 km SSW of Tyonek, Alaska",earthquake,,0.9,,,automatic,ak,ak
